iter	Passed	Remaining
0	3	75830
1	7	70908
2	10	70579
3	13	69407
4	16	66847
5	21	71419
6	24	70652
7	27	68575
8	30	68198
9	34	68172
10	38	69189
11	41	69650
12	45	69918
13	48	69296
14	51	68939
15	55	69166
16	58	69209
17	61	68255
18	65	68614
19	67	67904
20	70	67423
21	74	67422
22	77	67512
23	80	66948
24	83	66834
25	86	66785
26	90	66859
27	94	67358
28	98	67773
29	101	67789
30	104	67316
31	107	66959
32	109	66052
33	112	66352
34	116	66656
35	119	66411
36	122	66346
37	125	65921
38	128	65606
39	131	65569
40	134	65490
41	137	65320
42	140	65316
43	143	65027
44	145	64709
45	148	64518
46	151	64268
47	153	63892
48	156	63681
49	159	63678
50	162	63581
51	165	63598
52	169	63618
53	172	63671
54	175	63715
55	177	63192
56	180	63122
57	183	63084
58	185	62711
59	187	62407
60	191	62433
61	193	62074
62	196	62174
63	199	62164
64	202	62127
65	205	61951
66	208	62010
67	211	61986
68	214	61886
69	216	61618
70	219	61576
71	221	61413
72	225	61580
73	229	61697
74	231	61382
75	234	61393
76	237	61440
77	239	61259
78	242	61200
79	245	61221
80	249	61399
81	252	61367
82	255	61316
83	259	61506
84	262	61567
85	265	61550
86	268	61495
87	272	61615
88	275	61532
89	277	61484
90	280	61468
91	283	61409
92	286	61329
93	289	61316
94	292	61213
95	295	61238
96	298	61277
97	301	61299
98	304	61292
99	308	61352
100	310	61102
101	313	61102
102	316	61101
103	319	61107
104	322	61088
105	325	61180
106	329	61227
107	332	61290
108	335	61266
109	339	61308
110	342	61309
111	344	61246
112	347	61216
113	352	61569
114	356	61566
115	359	61648
116	362	61520
117	365	61511
118	368	61519
119	371	61556
120	375	61719
121	379	61759
122	382	61732
123	385	61759
124	388	61755
125	391	61754
126	395	61852
127	398	61859
128	402	61954
129	405	61943
130	408	61916
131	411	61916
132	415	61994
133	417	61900
134	421	61973
135	424	62010
136	428	62081
137	431	62038
138	434	62046
139	437	62011
140	440	62011
141	443	62009
142	446	61973
143	450	62063
144	453	62105
145	456	62131
146	459	62082
147	462	62098
148	466	62091
149	469	62154
150	472	62170
151	477	62286
152	480	62379
153	484	62422
154	487	62468
155	490	62435
156	493	62388
157	495	62258
158	498	62230
159	501	62224
160	504	62222
161	508	62279
162	511	62304
163	515	62409
164	519	62402
165	521	62323
166	525	62417
167	529	62480
168	532	62467
169	535	62449
170	539	62510
171	542	62512
172	545	62486
173	548	62491
174	550	62396
175	552	62249
176	554	62107
177	556	61939
178	559	61975
179	563	61993
180	566	62053
181	568	61923
182	571	61910
183	574	61924
184	578	61958
185	582	62020
186	584	61909
187	587	61945
188	591	62029
189	594	62010
190	597	61975
191	600	61979
192	603	61974
193	606	61965
194	610	62051
195	614	62071
196	616	61969
197	618	61905
198	622	61925
199	625	61924
200	627	61852
201	631	61858
202	634	61852
203	639	62032
204	643	62147
205	647	62179
206	650	62162
207	654	62315
208	658	62355
209	661	62351
210	665	62381
211	667	62271
212	670	62248
213	673	62254
214	676	62258
215	679	62268
216	683	62298
217	686	62282
218	688	62157
219	691	62148
220	694	62154
221	696	62025
222	699	62033
223	702	62057
224	705	61964
225	708	61990
226	712	62073
227	714	61979
228	718	61990
229	721	62011
230	724	62016
231	727	62013
232	731	62031
233	734	62031
234	738	62096
235	739	61952
236	743	61960
237	746	61970
238	749	61972
239	753	62012
240	757	62098
241	760	62076
242	763	62110
243	767	62109
244	769	62072
245	771	61941
246	775	62016
247	777	61890
248	779	61792
249	781	61700
250	784	61721
251	787	61722
252	791	61760
253	794	61798
254	798	61818
255	800	61721
256	803	61738
257	806	61749
258	808	61641
259	811	61641
260	813	61541
261	817	61550
262	821	61635
263	824	61673
264	828	61663
265	831	61657
266	834	61663
267	838	61701
268	840	61681
269	845	61748
270	847	61710
271	850	61684
272	853	61696
273	855	61598
274	859	61619
275	862	61615
276	865	61630
277	868	61621
278	871	61636
279	875	61681
280	880	61776
281	883	61786
282	886	61779
283	889	61725
284	892	61763
285	896	61785
286	899	61803
287	902	61803
288	907	61869
289	909	61787
290	911	61732
291	915	61760
292	918	61771
293	920	61731
294	924	61743
295	928	61790
296	931	61790
297	933	61720
298	936	61735
299	940	61740
300	943	61773
301	945	61671
302	949	61692
303	950	61607
304	954	61616
305	958	61664
306	961	61669
307	964	61693
308	968	61715
309	970	61632
310	973	61628
311	977	61701
312	981	61757
313	986	61827
314	990	61882
315	993	61863
316	997	61906
317	1000	61943
318	1004	61973
319	1007	61974
320	1011	62016
321	1014	61975
322	1017	61988
323	1021	62012
324	1023	61951
325	1027	61988
326	1030	61989
327	1033	61984
328	1036	61981
329	1039	61986
330	1043	62012
331	1045	61938
332	1048	61939
333	1050	61861
334	1054	61916
335	1058	61928
336	1061	61926
337	1064	61933
338	1067	61916
339	1070	61918
340	1073	61917
341	1077	61946
342	1080	61942
343	1084	61984
344	1086	61875
345	1089	61915
346	1094	61995
347	1100	62130
348	1105	62250
349	1110	62353
350	1115	62428
351	1119	62500
352	1124	62596
353	1128	62647
354	1131	62624
355	1135	62671
356	1139	62685
357	1143	62738
358	1147	62805
359	1152	62874
360	1157	62955
361	1162	63037
362	1166	63125
363	1171	63179
364	1175	63248
365	1177	63183
366	1182	63240
367	1186	63311
368	1190	63354
369	1194	63399
370	1198	63392
371	1201	63392
372	1205	63419
373	1208	63427
374	1211	63405
375	1215	63417
376	1218	63417
377	1221	63431
378	1225	63427
379	1228	63425
380	1232	63444
381	1234	63421
382	1237	63374
383	1240	63380
384	1244	63387
385	1247	63394
386	1251	63401
387	1254	63392
388	1257	63415
389	1264	63587
390	1269	63682
391	1274	63745
392	1278	63794
393	1285	63949
394	1291	64082
395	1294	64096
396	1297	64082
397	1302	64140
398	1306	64180
399	1311	64279
400	1317	64394
401	1325	64620
402	1332	64806
403	1337	64860
404	1341	64885
405	1342	64804
406	1347	64882
407	1351	64883
408	1355	64941
409	1358	64901
410	1360	64838
411	1363	64835
412	1368	64888
413	1370	64824
414	1373	64834
415	1377	64860
416	1379	64796
417	1383	64812
418	1387	64826
419	1390	64838
420	1395	64883
421	1399	64914
422	1403	64942
423	1406	64953
424	1410	64975
425	1412	64912
426	1415	64884
427	1417	64834
428	1421	64854
429	1422	64758
430	1425	64702
431	1428	64714
432	1431	64672
433	1435	64723
434	1439	64760
435	1443	64789
436	1447	64795
437	1451	64825
438	1454	64828
439	1459	64896
440	1462	64849
441	1465	64856
442	1469	64866
443	1473	64883
444	1475	64850
445	1479	64852
446	1483	64889
447	1484	64800
448	1487	64761
449	1491	64804
450	1494	64800
451	1498	64802
452	1502	64853
453	1506	64856
454	1510	64875
455	1513	64874
456	1517	64884
457	1520	64889
458	1524	64905
459	1526	64824
460	1529	64830
461	1533	64849
462	1537	64893
463	1541	64914
464	1545	64921
465	1549	64933
466	1553	64969
467	1555	64929
468	1558	64913
469	1562	64918
470	1566	64965
471	1570	64957
472	1572	64929
473	1576	64925
474	1579	64935
475	1583	64955
476	1587	64955
477	1590	64957
478	1592	64889
479	1595	64891
480	1599	64904
481	1602	64895
482	1605	64876
483	1608	64873
484	1612	64881
485	1616	64900
486	1619	64907
487	1622	64865
488	1624	64800
489	1626	64780
490	1629	64727
491	1632	64736
492	1636	64734
493	1639	64731
494	1642	64722
495	1646	64729
496	1647	64654
497	1651	64683
498	1655	64706
